,text,question_mark_check,hashtag_check,url_check,lexical_diversity,words_count,sentiment,trend_score,image,image_type_bool,video,engagement_score
0,1,0,0,1,0.9315068493150684,73,0.38214285714285723,80.1,0,0,0,9.182736455463728e-06
1,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.003755739210284665
3,1,0,0,0,1.0,1,0.0,43.55,0,0,0,3.6730945821854914e-05
5,1,0,0,0,1.0,1,0.0,43.55,0,0,0,9.182736455463728e-06
12,1,0,0,0,1.0,1,0.0,43.55,0,0,0,9.182736455463728e-05
13,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.004380165289256198
17,1,0,0,0,1.0,2,0.0,0.0,0,0,0,0.03396694214876033
18,1,0,0,0,1.0,3,0.0,14.65,0,0,0,0.00800734618916437
19,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.006170798898071626
20,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.001891643709825528
21,1,0,0,1,0.9315068493150684,73,0.38214285714285723,80.1,0,0,0,9.182736455463728e-06
22,1,0,0,0,1.0,15,0.1,13.4,0,0,1,0.012773186409550046
25,1,0,0,0,0.875,8,0.5,1.1,0,0,0,0.005803489439853076
29,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.0015794306703397613
30,1,0,0,0,1.0,1,0.0,38.8,0,0,0,2.7548209366391185e-05
34,1,0,0,0,1.0,1,0.0,43.55,0,0,0,9.182736455463728e-06
35,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.0010560146923783288
36,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.032286501377410466
37,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.0012855831037649219
38,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.0008080808080808081
39,1,0,0,0,1.0,1,0.0,43.55,0,0,0,5.509641873278237e-05
40,1,0,0,0,1.0,1,0.0,35.2,0,0,0,7.346189164370983e-05
41,1,0,0,0,1.0,1,0.25,78.8,0,0,0,0.0006887052341597796
42,1,0,0,1,0.9315068493150684,73,0.38214285714285723,80.1,0,0,0,9.182736455463728e-06
44,1,0,0,0,1.0,1,0.0,43.55,0,0,0,1.8365472910927457e-05
45,1,0,0,0,1.0,1,0.0,43.55,0,0,0,9.182736455463728e-06
46,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.00014692378328741966
47,1,0,0,0,1.0,5,0.0,0.0,0,0,0,0.0001928374655647383
48,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.0002846648301193756
49,1,0,0,0,1.0,1,0.0,43.55,0,0,0,0.004949494949494949
