,post_id,text,time,image,video,likes,comments,shares,post_url,reactors
0,498122030240565,"Welcome to the Big Data, Data Science, Data Mining & Statistics group!

We have a very diverse group of people with many different backgrounds and skills. Take advantage of this diversity by asking questions and learning from one another. We also have two threads for learning resources, one for online courses and one for books. Have fun and learn heaps! - Henrik Nordmark - Data Scientist

Ground rules:

Any posts that are advertisements will be deleted and will be grounds for banishment from the group. You can however post genuine job postings provided you are not a recruiter.

If you wish to share information about a free educational resource such as new course on Coursera, edX or Udacity that you plan to sign up for or have taken in the past that is perfectly ok. You can also share about books, blog posts and podcasts that you have found useful so long as it is not self-promotion. Use common sense when sharing with the community.

Wishing you all the best in your data science journey!",2013-01-25 17:25:26,,,199,1,10,https://m.facebook.com/groups/bigdatastatistics/permalink/498122030240565/,
1,4770463439673048,"Cloud computing offers businesses more flexibility, agility, and cost savings by hosting data and applications in the cloud. Have a look at how cloud computing can help in improving the AI sector: https://bit.ly/3eLVHov

Tyrone Systems
8 hrs ·

Cloud computing offers businesses more flexibility, agility, and cost savings by hosting data and applications in the cloud. Have a look at how cloud computing can help in improving the AI sector: https://bit.ly/3eLVHov
.
.
.
.
.
.
.
.
#HPC #Machine #Learning #Tyrone #StorageSolution #DataAnalytics #DataCenter #AI #CloudComputing",2021-05-24 19:51:19,https://scontent.fhyd14-1.fna.fbcdn.net/v/t1.6435-9/188906826_4082880295126245_4433854623762964545_n.png?_nc_cat=103&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=rdoiCUCv3YQAX9GMftv&_nc_ht=scontent.fhyd14-1.fna&oh=2e0cbd1eb15e1b3de0fb75fef0ad158c&oe=60CF7C7F,,1,0,0,https://m.facebook.com/groups/bigdatastatistics/permalink/4770463439673048/,
2,4770444659674926,"Hi All! Direct message me for Credit Risk Modeling tutorial videos. PD,LGD,EAD and scorecard development and validation using SAS",2021-05-24 19:44:59,,,0,0,0,https://m.facebook.com/groups/bigdatastatistics/permalink/4770444659674926/,
3,4770359189683473,"¿Trabajas con datos? Responde a 2 preguntas para trazar con éxito el camino de tu investigación:
- Cuál es tu objetivo❓
- Qué tipo de datos tienes❓
#RStats #dataanalysis #datascience

MAXIMAFORMACION.ES
Guía definitiva para encontrar la prueba estadística que buscas | Máxima Formación",2021-05-24 19:10:52,https://www.maximaformacion.es/wp-content/uploads/2018/04/Guía-definitiva-para-encontrar-la-prueba-estadística-que-buscas.png,,0,0,0,https://m.facebook.com/groups/bigdatastatistics/permalink/4770359189683473/,
4,4770304203022305,"ESET Internet Security License KEY 2021 - LEGALLY

YOUTUBE.COM
ESET Internet Security License KEY 2021 - LEGALLY",2021-05-24 18:48:30,https://i.ytimg.com/vi/OA9kRkSTKL4/hqdefault.jpg,,0,0,0,https://m.facebook.com/groups/bigdatastatistics/permalink/4770304203022305/,
5,4770208889698503,"Has anyone ever completed an online course in Data Science? Would you recommend?https://www.facebook.com/knoma.io/photos/a.462859821119144/984508362287618/

Knoma
3 hrs ·

Considering a career in data science? 💻☁️ Learn the key tools, algorithms, and machine learning principles with our online training courses and become a certified professional. 👆 Hit the link in the bio to discover the course that gets you to the next level.

📲 Easy application - Instant decision
🚀 Learn now, pay later.
✅ Interest and fee free
🎓 1,000s of courses from leading tech schools

Find out more: https://www.knoma.io/marketplace/category/data-science",2021-05-24 18:08:05,,,0,0,0,https://m.facebook.com/groups/bigdatastatistics/permalink/4770208889698503/,
6,4770155089703883,"Chuẩn bị cho tháng 6 này luôn nè mọi người ơi!!

Hocdataonline.com
22 May at 09:50 ·

👍👍Khóa tháng 6 đã bắt đầu tuyển sinh ngày hôm nay mọi người ơi.
Khóa học hot nhất trong năm, đã dạy cho hàng trăm bạn.
Giáo viên giàu kinh nghiệm, hướng dẫn dễ hiểu.
Phần 1: Excel for data analysis and tư duy phân tích
Phần 2: Sử dụng thành thạo SQL để lấy dữ liệu, công cụ làm reporting Google Data Studio và Data Story telling
Phần 3: Python for data analysis và basic machine learning
💁‍♀‍Inbox cho page để biết thêm chi tiết nhe
--------------------------
Giáo viên hướng dẫn support 24/7
Thông tin giảng viên: https://www.linkedin.com/in/ngan-mai-378210145/
Học thứ 7 và chủ nhật lúc 20 giờ, có record video để xem lại
Giải đề thi vào các công ty, giới thiệu việc làm
--------------------------
Website: www.hocdataonline.com",2021-05-24 17:44:56,https://scontent.fhyd14-2.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186583606_462245141569996_1806781286696457283_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=ZX0UpMiRl_YAX8QrfE4&_nc_ht=scontent.fhyd14-2.fna&tp=14&oh=109a00ac6539e902ecd9dd6f15a2e925&oe=60D1A045,,0,0,0,https://m.facebook.com/groups/bigdatastatistics/permalink/4770155089703883/,
7,4770003169719075,"Happie Software Consultancy and Services
Yesterday at 06:04 ·

LOCKDOWN OFFER TO BE AN EXPERT IN DATA DATA SCIENCE IN 120 HOURS, CLASS STARTS FROM 3RD

CONTACT US :+ 91 9686988010
MAIL: finroots@gmail.com",2021-05-24 16:38:53,https://scontent.fhyd14-1.fna.fbcdn.net/v/t1.6435-9/189623642_115847750629131_4400230278857128418_n.png?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_ohc=4obljEeV_CIAX-CkEW-&_nc_ht=scontent.fhyd14-1.fna&oh=689ac7afde48f311bd0a2e38f6af79f0&oe=60D09132,,0,0,3,https://m.facebook.com/groups/bigdatastatistics/permalink/4770003169719075/,
8,4761014580617934,"Anybody Interested in Data Science, Digital Marketing Certification course with 100 % Job Assistance",2021-05-21 16:55:29,,,16,17,1,https://m.facebook.com/groups/bigdatastatistics/permalink/4761014580617934/,
9,4769901753062550,,2021-05-24 15:54:47,https://m.facebook.com/photo/view_full_size/?fbid=10225027846980745&ref_component=mbasic_photo_permalink&ref_page=%2Fwap%2Fphoto.php&refid=13&__tn__=%2Cg,,0,0,0,https://m.facebook.com/groups/bigdatastatistics/permalink/4769901753062550/,
