,text,question_mark_check,hashtag_check,url_check,lexical_diversity,words_count,sentiment,image_type,trend_score,image,image_type,video,engagement_score
0,1,0,0,0,0.7085714285714285,175,0.25066844919786097,0,4.65,0,0,0,0.008461538461538461
1,1,0,9,1,0.5,88,0.3,-1,0.0,1,-1,0,3.846153846153846e-05
7,1,0,0,0,0.9393939393939394,33,0.0,-1,1.85,1,-1,0,0.00023076923076923076
8,1,0,0,0,1.0,14,0.125,0,6.9,0,0,0,0.001346153846153846
10,1,0,0,0,1.0,10,0.0,-1,0.0,1,-1,0,3.846153846153846e-05
16,1,0,0,0,1.0,9,0.3,-1,20.6,1,-1,0,3.846153846153846e-05
21,1,0,0,0,0.7085714285714285,175,0.25066844919786097,0,4.65,0,0,0,0.008461538461538461
22,1,0,0,0,0.9666666666666667,30,0.0,0,0.0,0,0,0,0.0005
26,1,0,0,1,1.0,8,0.0,0,10.35,0,0,0,0.00023076923076923076
29,1,0,0,0,0.7682926829268293,164,0.16153846153846155,0,0.0,0,0,0,0.0005384615384615384
38,1,0,0,0,0.9375,16,0.125,0,0.15,0,0,0,3.846153846153846e-05
42,1,0,0,0,0.7085714285714285,175,0.25066844919786097,0,4.65,0,0,0,0.008461538461538461
43,1,0,0,0,1.0,1,0.0,0,43.55,0,0,0,3.846153846153846e-05
51,1,0,16,1,0.9342105263157895,76,0.0,-1,0.0,1,-1,0,3.846153846153846e-05
52,1,0,0,0,1.0,9,0.0,-1,0.0,1,-1,0,3.846153846153846e-05
63,1,0,0,0,0.7085714285714285,175,0.25066844919786097,0,4.65,0,0,0,0.008461538461538461
66,1,0,0,0,1.0,1,0.0,0,43.55,0,0,0,3.846153846153846e-05
67,1,0,14,0,0.9117647058823529,34,0.52,-1,0.0,1,-1,0,7.692307692307693e-05
77,1,0,0,0,1.0,13,0.0,0,0.1,0,0,0,3.846153846153846e-05
81,1,1,0,0,0.8095238095238095,21,0.2857142857142857,-1,32.05,1,-1,0,0.00015384615384615385
84,1,0,0,0,0.7085714285714285,175,0.25066844919786097,0,4.65,0,0,0,0.008461538461538461
92,1,1,21,1,0.8732394366197183,142,0.20204081632653062,-1,0.0,1,-1,0,3.846153846153846e-05
93,1,0,0,0,1.0,1,0.0,0,43.55,0,0,0,0.0002692307692307692
96,1,0,0,0,0.8214285714285714,56,0.195,-1,0.0,1,-1,0,0.00011538461538461538
