,post_id,text,time,image,video,likes,comments,shares,post_url,reactors
0,3150850788270104,"Check out what's new in Insane!

Open Insane: https://tryinsane.page.link/TheInsaneApp

Topics Covered by Insane: Artificial Intelligence, Machine Learning, Data Science, Programming, & More..

Insane
14 డిసెంబర్, 2019 6:34 AMకి ·

Check out what's new in Insane!

Try Insane: https://tryinsane.page.link/TheInsaneApp",2020-06-03 21:10:13,,,54,2,1,https://m.facebook.com/groups/InsaneTech/permalink/3150850788270104/,
1,4153052178049955,"DRIVE.GOOGLE.COM
data.csv",2021-05-24 20:38:04,,,0,0,0,https://m.facebook.com/groups/InsaneTech/permalink/4153052178049955/,
2,4153353708019802,,2021-05-24 22:42:01,,https://video.fhyd5-1.fna.fbcdn.net/v/t42.1790-2/189139457_757018204996654_4208165730656191385_n.mp4?_nc_cat=102&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=TJFaQNbUs0MAX_XA5F8&_nc_rml=0&_nc_ht=video.fhyd5-1.fna&oh=a67325e31a8fdb57962c593663a4a8dd&oe=60ACAB79,0,0,0,https://m.facebook.com/groups/InsaneTech/permalink/4153353708019802/,
3,4154481024573737,"“What got you into AI? And what part of it really interests you about it?” — a simple question that I have asked more than 30 researchers from different backgrounds and applications on my podcasts to learn more about their motivation. Thought of compiling them into one; to whosoever it proves to be insightful!

YOUTUBE.COM
""What got you into AI?""-- Answers from 30 different researchers & engineers",2021-05-25 07:58:46,https://i.ytimg.com/vi/oifdFGTKBR0/maxresdefault.jpg,,0,0,0,https://m.facebook.com/groups/InsaneTech/permalink/4154481024573737/,
4,4143489239006249,"Please help me
In machine learning
Some error occured in my model",2021-05-21 19:12:21,,,1,24,0,https://m.facebook.com/groups/InsaneTech/permalink/4143489239006249/,
5,4152278548127318,"Find out how #textanalysis solutions can assist online #healthcare reputation management
Here is the link - https://bytesview.com/blog/text-analysis-healthcare-reputation-management/
Check it out
#health #Analytics #Blog #MachineLearning #COVID19 #Hospital #Doctor",2021-05-24 15:20:54,,,1,0,0,https://m.facebook.com/groups/InsaneTech/permalink/4152278548127318/,
6,4151824168172756,"How to upload Dataset on Kaggle platform and increase its usability.

#uploadDataset #createDataset #kaggledataset #upload #kaggle #machinelearning #datascience #DATAMAGIC

YOUTUBE.COM
How to upload Dataset on Kaggle | Increase Dataset usability on Kaggle | Machine Learning",2021-05-24 11:32:50,https://i.ytimg.com/vi/8tgWLnLqj94/maxresdefault.jpg,,1,0,1,https://m.facebook.com/groups/InsaneTech/permalink/4151824168172756/,
7,4152144644807375,"https://youtu.be/GyhQknL5KFk

YOUTUBE.COM
Introduction about Tensorflow",2021-05-24 14:13:17,https://i.ytimg.com/vi/GyhQknL5KFk/maxresdefault.jpg,,9,0,9,https://m.facebook.com/groups/InsaneTech/permalink/4152144644807375/,
8,4151911014830738,"😲 A Cool Project for Machine Learning Enthusiast

Insane
22 గం ·

😲 A Realistic and Unrealistic Project using Deep Learning, DeepFakes and Avtarify 😅

Code and Step by Step Tutorial is given in the comment section

Credits: Dash Bark Huss (Twitter)",2021-05-24 12:11:07,,,6,0,2,https://m.facebook.com/groups/InsaneTech/permalink/4151911014830738/,
9,4150285018326671,"Robofied
నిన్న 4:38 PMకి ·

Ever wondered why 3x3 is mostly preferred as filter size in CNNs?🤔
Checkout today's The Interview Hour from Robofied to answer that!🤯🤯



Happy Learning!! 🥳
.
.
.
.మరిన్ని
.
.
.
.
#interview #interviewquestions #interviewhour #artificialintelligence #robofied #programning #python3 #python #pythonprogramming #deeplearning #dataanalytics #datascience #data #bigdata #technology #datascientist #code #coding #developer #tech #technews #india #machinelearning #AI",2021-05-23 22:36:30,,,0,0,0,https://m.facebook.com/groups/InsaneTech/permalink/4150285018326671/,
